AttentionScore , AttentionLevel 
69,  3
84,  3
44,  3
3,  3
33,  3
48,  3
8,  3
67,  3
83,  3
42,  3
72,  3
85,  3
45,  3
4,  3
19,  3
79,  3
94,  3
68,  3
83,  3
43,  3
58,  3
18,  3
78,  3
7,  3
22,  3
82,  3
42,  3
57,  3
17,  3
46,  3
6,  3
21,  3
81,  3
41,  3
56,  3
85,  3
45,  3
5,  3
20,  3
80,  3
95,  3
69,  3
84,  3
44,  3
59,  3
18,  3
78,  3
8,  3
23,  3
82,  3
42,  3
57,  3
87,  3
14,  3
74,  3
3,  3
63,  3
78,  3
38,  3
98,  3
13,  3
42,  3
2,  3
62,  3
77,  3
37,  3
66,  3
26,  3
41,  3
1,  3
16,  3
90,  3
5,  3
65,  3
80,  3
54,  3
69,  3
29,  3
44,  3
3,  3
63,  3
93,  3
8,  3
67,  3
27,  3
42,  3
2,  3
31,  3
91,  3
6,  3
66,  3
81,  3
55,  3
70,  3
30,  3
45,  3
5,  3
65,  3
80,  3
9,  3
69,  3
29,  3
44,  3
4,  3
33,  3
93,  3
8,  3
68,  3
97,  3
57,  3
72,  3
32,  3
47,  3
7,  3
36,  3
96,  3
11,  3
71,  3
30,  3
46,  3
75,  3
35,  3
94,  3
24,  3
39,  3
99,  3
28,  3
88,  3
3,  3
63,  3
22,  3
38,  3
67,  3
27,  3
86,  3
16,  3
31,  3
91,  3
51,  3
66,  3
95,  3
55,  3
15,  3
30,  3
89,  3
33,  3
48,  3
8,  3
37,  3
97,  3
12,  3
72,  3
87,  3
47,  3
76,  3
36,  3
96,  3
11,  3
71,  3
0,  3
60,  3
75,  3
35,  3
50,  3
24,  3
39,  3
99,  3
14,  3
74,  3
3,  3
63,  3
78,  3
38,  3
97,  3
27,  3
42,  3
2,  3
61,  3
76,  3
6,  3
66,  3
25,  3
40,  3
0,  3
30,  3
89,  3
4,  3
64,  3
79,  3
53,  3
68,  3
28,  3
43,  3
3,  3
32,  3
92,  3
7,  3
67,  3
96,  3
56,  3
71,  3
31,  3
61,  3
20,  3
35,  3
95,  3
55,  3
70,  3
99,  3
59,  3
19,  3
34,  3
94,  3
23,  3
83,  3
98,  3
58,  3
73,  3
47,  3
62,  3
22,  3
37,  3
11,  3
26,  3
86,  3
1,  3
61,  3
21,  3
50,  3
65,  3
25,  3
85,  3
14,  3
29,  3
89,  3
49,  3
64,  3
93,  3
53,  3
13,  3
28,  3
87,  3
3,  3
77,  3
92,  3
52,  3
67,  3
26,  3
56,  3
16,  3
31,  3
90,  3
50,  3
80,  3
95,  3
54,  3
14,  3
44,  3
59,  3
18,  3
78,  3
93,  3
23,  3
82,  3
42,  3
72,  3
87,  3
46,  3
6,  3
36,  3
51,  3
10,  3
70,  3
85,  3
15,  3
75,  3
34,  3
49,  3
23,  3
39,  3
98,  3
13,  3
73,  3
3,  3
62,  3
77,  3
37,  3
67,  3
26,  3
41,  3
1,  3
61,  3
90,  3
5,  3
65,  3
25,  3
40,  3
69,  3
29,  3
89,  3
4,  3
64,  3
93,  3
53,  3
68,  3
26,  3
41,  3
70,  3
30,  3
90,  3
5,  3
65,  3
94,  3
54,  3
69,  3
29,  3
44,  3
18,  3
33,  3
93,  3
8,  3
68,  3
97,  3
57,  3
72,  3
32,  3
61,  3
21,  3
36,  3
96,  3
25,  3
85,  3
0,  3
60,  3
89,  3
49,  3
64,  3
24,  3
84,  3
13,  3
28,  3
88,  3
17,  3
77,  3
92,  3
52,  3
81,  3
41,  3
56,  3
16,  3
45,  3
5,  3
20,  3
80,  3
40,  3
55,  3
84,  3
44,  3
4,  3
19,  3
48,  3
8,  3
68,  3
83,  3
43,  3
72,  3
32,  3
47,  3
7,  3
22,  3
96,  3
