AttentionScore , AttentionLevel 
58,  2
18,  1
33,  1
93,  3
53,  2
68,  2
28,  1
57,  2
17,  1
32,  1
92,  3
7,  1
66,  2
26,  1
56,  2
71,  2
30,  1
90,  3
5,  1
65,  2
80,  3
54,  2
69,  2
29,  1
44,  1
4,  1
64,  2
79,  2
8,  1
68,  2
28,  1
43,  1
3,  1
18,  1
92,  3
7,  1
67,  2
82,  3
42,  1
1,  1
17,  1
46,  1
6,  1
65,  2
81,  3
40,  1
55,  2
29,  1
45,  1
4,  1
19,  1
79,  2
39,  1
54,  2
83,  3
43,  1
3,  1
18,  1
78,  2
93,  3
53,  2
82,  3
42,  1
57,  2
17,  1
77,  2
92,  3
21,  1
81,  3
41,  1
56,  2
15,  1
31,  1
90,  3
20,  1
79,  2
95,  3
54,  2
14,  1
29,  1
89,  3
18,  1
78,  2
93,  3
53,  2
68,  2
28,  1
88,  3
17,  1
32,  1
92,  3
52,  2
67,  2
27,  1
86,  3
2,  1
31,  1
91,  3
50,  3
66,  2
25,  1
40,  1
14,  1
30,  1
89,  3
4,  1
64,  2
24,  1
39,  1
68,  2
28,  1
88,  3
3,  1
63,  2
78,  2
52,  2
67,  2
27,  1
42,  1
2,  1
62,  2
77,  2
6,  1
66,  2
26,  1
41,  1
0,  1
16,  1
90,  3
5,  1
64,  2
80,  3
39,  1
99,  3
14,  1
44,  1
3,  1
63,  2
78,  2
38,  1
53,  2
13,  1
73,  2
2,  1
17,  1
77,  2
37,  1
52,  2
81,  3
41,  1
1,  1
16,  1
76,  2
91,  3
51,  2
80,  3
40,  1
55,  2
15,  1
74,  2
89,  3
19,  1
79,  2
38,  1
53,  2
13,  1
28,  1
88,  3
17,  1
77,  2
92,  3
52,  2
12,  1
27,  1
87,  3
16,  1
76,  2
91,  3
51,  2
66,  2
26,  1
85,  3
15,  1
30,  1
90,  3
49,  1
65,  2
24,  1
40,  1
13,  1
29,  1
88,  3
4,  1
63,  2
23,  1
38,  1
68,  2
27,  1
87,  3
2,  1
62,  2
77,  2
51,  2
66,  2
26,  1
41,  1
15,  1
30,  1
90,  3
5,  1
65,  2
25,  1
54,  2
69,  2
29,  1
89,  3
4,  1
64,  2
23,  1
53,  2
68,  2
28,  1
87,  3
2,  1
62,  2
77,  2
51,  2
66,  2
26,  1
41,  1
1,  1
61,  2
76,  2
5,  1
65,  2
25,  1
40,  1
0,  1
15,  1
75,  2
4,  1
64,  2
79,  2
39,  1
98,  3
14,  1
43,  1
3,  1
63,  2
78,  2
37,  1
53,  2
12,  1
42,  1
1,  1
17,  1
76,  2
36,  1
51,  2
11,  1
40,  1
0,  1
15,  1
75,  2
90,  3
50,  3
79,  2
39,  1
54,  2
14,  1
74,  2
89,  3
18,  1
78,  2
38,  1
53,  2
13,  1
28,  1
2,  1
17,  1
77,  2
92,  3
51,  2
11,  1
41,  1
56,  2
15,  1
75,  2
90,  3
50,  3
80,  3
39,  1
54,  2
14,  1
29,  1
89,  3
