AttentionScore , AttentionLevel 
11,  1
71,  2
86,  3
46,  1
75,  2
35,  1
50,  3
10,  1
25,  1
85,  3
45,  1
74,  2
89,  3
49,  1
9,  1
24,  1
83,  3
99,  3
58,  2
88,  3
47,  1
63,  2
22,  1
82,  3
97,  3
27,  1
86,  3
46,  1
61,  2
21,  1
36,  1
96,  3
25,  1
85,  3
0,  1
60,  2
20,  1
49,  1
64,  2
24,  1
84,  3
99,  3
59,  2
74,  2
48,  1
63,  2
23,  1
38,  1
98,  3
57,  2
72,  2
32,  1
62,  2
21,  1
36,  1
96,  3
11,  1
71,  2
31,  1
60,  2
75,  2
35,  1
95,  3
10,  1
70,  2
85,  3
59,  2
74,  2
34,  1
49,  1
9,  1
68,  2
84,  3
13,  1
73,  2
32,  1
48,  1
7,  1
22,  1
82,  3
12,  1
71,  2
86,  3
46,  1
6,  1
21,  1
50,  3
10,  1
70,  2
85,  3
45,  1
60,  2
20,  1
49,  1
9,  1
24,  1
84,  3
44,  1
59,  2
88,  3
48,  1
8,  1
23,  1
83,  3
98,  3
57,  2
87,  3
47,  1
62,  2
21,  1
81,  3
96,  3
56,  2
85,  3
45,  1
60,  2
20,  1
35,  1
95,  3
24,  1
84,  3
99,  3
59,  2
19,  1
34,  1
8,  1
23,  1
83,  3
98,  3
58,  2
87,  3
47,  1
62,  2
22,  1
81,  3
97,  3
56,  2
86,  3
45,  1
61,  2
20,  1
35,  1
95,  3
