AttentionScore , AttentionLevel 
92,  3
21,  1
36,  1
96,  3
56,  2
71,  2
31,  1
46,  1
5,  1
65,  2
95,  3
10,  1
69,  2
29,  1
44,  1
4,  1
19,  1
93,  3
8,  1
68,  2
83,  3
43,  1
3,  1
32,  1
47,  1
7,  1
67,  2
82,  3
42,  1
57,  2
17,  1
46,  1
6,  1
21,  1
81,  3
40,  1
55,  2
15,  1
45,  1
4,  1
19,  1
79,  2
94,  3
54,  2
14,  1
29,  1
58,  2
18,  1
78,  2
93,  3
53,  2
68,  2
42,  1
57,  2
17,  1
32,  1
92,  3
52,  2
67,  2
26,  1
56,  2
16,  1
31,  1
90,  3
6,  1
65,  2
25,  1
54,  2
70,  2
29,  1
89,  3
4,  1
64,  2
93,  3
53,  2
68,  2
28,  1
43,  1
3,  1
63,  2
92,  3
52,  2
67,  2
27,  1
42,  1
AttentionScore , AttentionLevel 
29,  1
89,  3
4,  1
64,  2
79,  2
39,  1
68,  2
28,  1
43,  1
3,  1
63,  2
78,  2
7,  1
67,  2
27,  1
42,  1
2,  1
17,  1
76,  2
6,  1
66,  2
81,  3
40,  1
0,  1
15,  1
75,  2
4,  1
64,  2
79,  2
39,  1
54,  2
14,  1
43,  1
3,  1
18,  1
78,  2
38,  1
53,  2
13,  1
42,  1
2,  1
17,  1
77,  2
92,  3
52,  2
81,  3
41,  1
56,  2
16,  1
75,  2
90,  3
50,  3
80,  3
39,  1
55,  2
14,  1
29,  1
89,  3
19,  1
78,  2
93,  3
