AttentionScore , AttentionLevel 
9,  1
69,  2
98,  3
58,  2
73,  2
33,  1
48,  1
8,  1
67,  2
82,  3
42,  1
57,  2
31,  1
47,  1
6,  1
21,  1
81,  3
41,  1
56,  2
16,  1
45,  1
5,  1
20,  1
80,  3
95,  3
55,  2
15,  1
30,  1
89,  3
19,  1
79,  2
94,  3
53,  2
69,  2
43,  1
58,  2
17,  1
33,  1
92,  3
52,  2
67,  2
27,  1
42,  1
16,  1
31,  1
91,  3
6,  1
66,  2
26,  1
55,  2
70,  2
30,  1
90,  3
5,  1
65,  2
80,  3
39,  1
69,  2
29,  1
88,  3
3,  1
63,  2
78,  2
52,  2
67,  2
27,  1
42,  1
2,  1
62,  2
77,  2
6,  1
66,  2
26,  1
41,  1
1,  1
16,  1
90,  3
5,  1
65,  2
80,  3
40,  1
69,  2
29,  1
44,  1
4,  1
64,  2
79,  2
38,  1
68,  2
28,  1
43,  1
2,  1
18,  1
77,  2
37,  1
66,  2
82,  3
41,  1
1,  1
16,  1
76,  2
91,  3
65,  2
80,  3
40,  1
55,  2
15,  1
75,  2
4,  1
19,  1
79,  2
39,  1
54,  2
14,  1
29,  1
3,  1
18,  1
78,  2
93,  3
52,  2
82,  3
42,  1
57,  2
17,  1
76,  2
6,  1
21,  1
81,  3
40,  1
55,  2
15,  1
45,  1
4,  1
19,  1
79,  2
94,  3
54,  2
14,  1
43,  1
58,  2
18,  1
78,  2
93,  3
53,  2
82,  3
42,  1
57,  2
17,  1
32,  1
92,  3
51,  2
81,  3
96,  3
56,  2
15,  1
31,  1
90,  3
5,  1
79,  2
95,  3
54,  2
69,  2
29,  1
89,  3
4,  1
34,  1
93,  3
53,  2
68,  2
28,  1
43,  1
17,  1
32,  1
92,  3
7,  1
67,  2
27,  1
42,  1
71,  2
31,  1
91,  3
6,  1
66,  2
25,  1
55,  2
70,  2
30,  1
89,  3
4,  1
64,  2
79,  2
53,  2
68,  2
28,  1
43,  1
3,  1
63,  2
92,  3
7,  1
67,  2
27,  1
42,  1
2,  1
AttentionScore , AttentionLevel 
37,  1
52,  2
81,  3
41,  1
1,  1
16,  1
76,  2
91,  3
65,  2
80,  3
40,  1
55,  2
15,  1
74,  2
89,  3
19,  1
79,  2
38,  1
53,  2
13,  1
28,  1
2,  1
18,  1
77,  2
92,  3
52,  2
12,  1
27,  1
56,  2
16,  1
76,  2
91,  3
51,  2
66,  2
40,  1
55,  2
15,  1
30,  1
90,  3
50,  3
79,  2
94,  3
54,  2
14,  1
29,  1
88,  3
4,  1
78,  2
93,  3
52,  2
68,  2
27,  1
87,  3
16,  1
32,  1
91,  3
51,  2
66,  2
26,  1
55,  2
15,  1
30,  1
90,  3
5,  1
65,  2
25,  1
54,  2
69,  2
29,  1
89,  3
4,  1
64,  2
93,  3
53,  2
68,  2
28,  1
43,  1
3,  1
32,  1
92,  3
7,  1
67,  2
26,  1
41,  1
1,  1
31,  1
90,  3
5,  1
65,  2
80,  3
40,  1
69,  2
29,  1
44,  1
4,  1
64,  2
79,  2
53,  2
68,  2
28,  1
43,  1
3,  1
63,  2
78,  2
7,  1
67,  2
27,  1
42,  1
1,  1
17,  1
91,  3
6,  1
65,  2
81,  3
40,  1
0,  1
15,  1
45,  1
4,  1
64,  2
79,  2
39,  1
54,  2
28,  1
43,  1
3,  1
18,  1
78,  2
38,  1
67,  2
82,  3
42,  1
2,  1
17,  1
77,  2
6,  1
66,  2
81,  3
41,  1
56,  2
30,  1
45,  1
5,  1
20,  1
80,  3
39,  1
54,  2
84,  3
44,  1
3,  1
18,  1
78,  2
93,  3
67,  2
82,  3
42,  1
57,  2
17,  1
46,  1
6,  1
21,  1
81,  3
41,  1
56,  2
85,  3
45,  1
5,  1
20,  1
80,  3
9,  1
69,  2
84,  3
44,  1
59,  2
19,  1
48,  1
8,  1
23,  1
83,  3
43,  1
58,  2
17,  1
47,  1
7,  1
22,  1
81,  3
97,  3
56,  2
86,  3
45,  1
61,  2
20,  1
80,  3
9,  1
25,  1
84,  3
44,  1
59,  2
19,  1
48,  1
8,  1
23,  1
83,  3
98,  3
72,  2
87,  3
47,  1
62,  2
22,  1
51,  2
11,  1
26,  1
86,  3
46,  1
75,  2
90,  3
50,  3
10,  1
25,  1
54,  2
14,  1
74,  2
89,  3
49,  1
78,  2
38,  1
53,  2
13,  1
