AttentionScore , AttentionLevel 
62,  2
22,  1
82,  3
97,  3
57,  2
72,  2
46,  1
61,  2
21,  1
36,  1
96,  3
55,  2
71,  2
0,  1
60,  2
20,  1
35,  1
94,  3
10,  1
84,  3
99,  3
58,  2
74,  2
33,  1
93,  3
22,  1
38,  1
97,  3
57,  2
72,  2
32,  1
47,  1
21,  1
36,  1
96,  3
11,  1
71,  2
31,  1
60,  2
75,  2
35,  1
95,  3
10,  1
70,  2
29,  1
59,  2
74,  2
34,  1
93,  3
8,  1
68,  2
83,  3
57,  2
72,  2
32,  1
47,  1
7,  1
67,  2
96,  3
11,  1
71,  2
31,  1
46,  1
6,  1
21,  1
95,  3
10,  1
70,  2
85,  3
45,  1
5,  1
34,  1
49,  1
9,  1
69,  2
84,  3
43,  1
59,  2
33,  1
48,  1
7,  1
23,  1
82,  3
42,  1
71,  2
87,  3
46,  1
6,  1
21,  1
81,  3
96,  3
70,  2
85,  3
45,  1
60,  2
20,  1
80,  3
9,  1
24,  1
84,  3
44,  1
59,  2
19,  1
34,  1
8,  1
23,  1
83,  3
98,  3
57,  2
17,  1
47,  1
62,  2
22,  1
81,  3
96,  3
56,  2
86,  3
45,  1
60,  2
20,  1
35,  1
95,  3
55,  2
84,  3
99,  3
59,  2
19,  1
34,  1
94,  3
23,  1
83,  3
98,  3
58,  2
73,  2
33,  1
92,  3
22,  1
37,  1
97,  3
56,  2
72,  2
31,  1
61,  2
20,  1
36,  1
95,  3
10,  1
70,  2
30,  1
59,  2
74,  2
34,  1
94,  3
9,  1
69,  2
98,  3
58,  2
73,  2
33,  1
48,  1
8,  1
37,  1
97,  3
12,  1
72,  2
32,  1
61,  2
76,  2
36,  1
96,  3
11,  1
71,  2
0,  1
60,  2
