AttentionScore , AttentionLevel 
1,  1
30,  1
90,  3
50,  3
65,  2
25,  1
40,  1
0,  1
59,  2
74,  2
34,  1
64,  2
23,  1
38,  1
98,  3
13,  1
73,  2
33,  1
48,  1
8,  1
37,  1
97,  3
12,  1
72,  2
87,  3
47,  1
6,  1
36,  1
51,  2
11,  1
70,  2
86,  3
45,  1
61,  2
34,  1
50,  3
9,  1
25,  1
84,  3
44,  1
59,  2
89,  3
48,  1
8,  1
23,  1
83,  3
98,  3
58,  2
87,  3
47,  1
62,  2
22,  1
82,  3
97,  3
57,  2
86,  3
46,  1
61,  2
21,  1
36,  1
95,  3
25,  1
85,  3
0,  1
59,  2
89,  3
49,  1
64,  2
23,  1
83,  3
98,  3
58,  2
87,  3
47,  1
62,  2
22,  1
37,  1
97,  3
26,  1
86,  3
1,  1
61,  2
21,  1
36,  1
96,  3
25,  1
85,  3
0,  1
60,  2
75,  2
35,  1
94,  3
10,  1
39,  1
99,  3
58,  2
74,  2
33,  1
93,  3
22,  1
38,  1
97,  3
57,  2
72,  2
32,  1
47,  1
21,  1
36,  1
96,  3
11,  1
71,  2
31,  1
46,  1
75,  2
35,  1
95,  3
10,  1
70,  2
85,  3
59,  2
74,  2
34,  1
49,  1
8,  1
68,  2
83,  3
13,  1
72,  2
32,  1
47,  1
7,  1
22,  1
96,  3
11,  1
41,  1
1,  1
60,  2
75,  2
35,  1
50,  3
10,  1
54,  2
69,  2
29,  1
88,  3
3,  1
33,  1
93,  3
52,  2
67,  2
27,  1
42,  1
2,  1
31,  1
91,  3
6,  1
66,  2
26,  1
41,  1
70,  2
30,  1
90,  3
5,  1
65,  2
80,  3
54,  2
69,  2
29,  1
44,  1
4,  1
63,  2
79,  2
8,  1
68,  2
27,  1
43,  1
2,  1
18,  1
92,  3
7,  1
66,  2
82,  3
41,  1
1,  1
16,  1
46,  1
5,  1
