AttentionScore , AttentionLevel 
22,  1
37,  1
66,  2
26,  1
86,  3
1,  1
61,  2
76,  2
35,  1
95,  3
25,  1
40,  1
99,  3
59,  2
74,  2
34,  1
49,  1
9,  1
38,  1
98,  3
13,  1
73,  2
33,  1
48,  1
8,  1
23,  1
83,  3
12,  1
72,  2
31,  1
47,  1
6,  1
22,  1
81,  3
11,  1
70,  2
86,  3
45,  1
5,  1
20,  1
80,  3
9,  1
69,  2
84,  3
44,  1
59,  2
19,  1
79,  2
8,  1
23,  1
83,  3
43,  1
58,  2
18,  1
33,  1
7,  1
22,  1
82,  3
97,  3
56,  2
16,  1
46,  1
61,  2
20,  1
80,  3
95,  3
55,  2
84,  3
44,  1
59,  2
19,  1
34,  1
94,  3
54,  2
83,  3
98,  3
58,  2
18,  1
33,  1
93,  3
8,  1
82,  3
97,  3
57,  2
72,  2
32,  1
91,  3
21,  1
36,  1
96,  3
25,  1
54,  2
14,  1
74,  2
89,  3
49,  1
64,  2
24,  1
53,  2
13,  1
28,  1
88,  3
47,  1
63,  2
92,  3
52,  2
11,  1
27,  1
86,  3
1,  1
61,  2
91,  3
50,  3
65,  2
25,  1
85,  3
0,  1
60,  2
89,  3
49,  1
64,  2
24,  1
39,  1
99,  3
28,  1
88,  3
3,  1
63,  2
23,  1
52,  2
67,  2
41,  1
56,  2
16,  1
31,  1
91,  3
51,  2
80,  3
95,  3
55,  2
15,  1
30,  1
90,  3
5,  1
