AttentionScore , AttentionLevel 
79,  2
39,  1
68,  2
28,  1
43,  1
3,  1
63,  2
78,  2
38,  1
53,  2
27,  1
42,  1
2,  1
17,  1
76,  2
36,  1
51,  2
11,  1
40,  1
0,  1
15,  1
75,  2
90,  3
50,  3
10,  1
25,  1
85,  3
14,  1
74,  2
89,  3
49,  1
8,  1
24,  1
83,  3
13,  1
72,  2
88,  3
47,  1
62,  2
22,  1
82,  3
11,  1
26,  1
86,  3
46,  1
61,  2
21,  1
50,  3
10,  1
25,  1
85,  3
0,  1
60,  2
20,  1
49,  1
64,  2
24,  1
84,  3
99,  3
59,  2
88,  3
48,  1
63,  2
23,  1
38,  1
97,  3
57,  2
87,  3
2,  1
61,  2
21,  1
36,  1
96,  3
11,  1
85,  3
0,  1
60,  2
75,  2
35,  1
95,  3
24,  1
39,  1
99,  3
59,  2
74,  2
34,  1
49,  1
23,  1
38,  1
98,  3
13,  1
73,  2
2,  1
62,  2
77,  2
37,  1
96,  3
26,  1
41,  1
1,  1
60,  2
76,  2
35,  1
65,  2
24,  1
40,  1
99,  3
14,  1
74,  2
4,  1
63,  2
78,  2
38,  1
98,  3
13,  1
73,  2
2,  1
62,  2
77,  2
37,  1
52,  2
12,  1
41,  1
1,  1
16,  1
76,  2
36,  1
51,  2
10,  1
40,  1
0,  1
15,  1
74,  2
90,  3
49,  1
79,  2
38,  1
54,  2
13,  1
73,  2
88,  3
18,  1
77,  2
37,  1
52,  2
