AttentionScore , AttentionLevel 
37,  1
96,  3
26,  1
85,  3
1,  1
60,  2
20,  1
35,  1
95,  3
10,  1
70,  2
30,  1
59,  2
74,  2
34,  1
94,  3
9,  1
69,  2
84,  3
43,  1
73,  2
33,  1
48,  1
7,  1
67,  2
82,  3
42,  1
71,  2
31,  1
46,  1
6,  1
21,  1
81,  3
10,  1
70,  2
85,  3
45,  1
5,  1
20,  1
49,  1
9,  1
69,  2
84,  3
44,  1
73,  2
AttentionScore , AttentionLevel 
61,  2
76,  2
35,  1
95,  3
10,  1
40,  1
99,  3
59,  2
74,  2
34,  1
49,  1
9,  1
38,  1
98,  3
13,  1
73,  2
33,  1
48,  1
77,  2
37,  1
97,  3
12,  1
72,  2
87,  3
47,  1
76,  2
36,  1
51,  2
11,  1
70,  2
85,  3
15,  1
75,  2
34,  1
50,  3
9,  1
24,  1
84,  3
14,  1
73,  2
88,  3
48,  1
8,  1
23,  1
52,  2
12,  1
72,  2
87,  3
47,  1
62,  2
22,  1
51,  2
11,  1
26,  1
86,  3
46,  1
61,  2
90,  3
50,  3
10,  1
25,  1
84,  3
0,  1
74,  2
89,  3
48,  1
64,  2
23,  1
83,  3
98,  3
28,  1
87,  3
47,  1
62,  2
22,  1
37,  1
11,  1
26,  1
86,  3
1,  1
61,  2
21,  1
36,  1
65,  2
25,  1
85,  3
