AttentionScore , AttentionLevel 
71,  2
30,  1
46,  1
5,  1
35,  1
94,  3
10,  1
69,  2
29,  1
44,  1
4,  1
33,  1
93,  3
8,  1
68,  2
83,  3
43,  1
3,  1
18,  1
47,  1
7,  1
67,  2
82,  3
42,  1
57,  2
17,  1
46,  1
6,  1
65,  2
81,  3
40,  1
55,  2
15,  1
45,  1
4,  1
19,  1
79,  2
39,  1
54,  2
83,  3
43,  1
3,  1
18,  1
78,  2
93,  3
53,  2
82,  3
42,  1
57,  2
17,  1
77,  2
92,  3
21,  1
81,  3
41,  1
56,  2
15,  1
31,  1
90,  3
20,  1
79,  2
95,  3
54,  2
14,  1
29,  1
59,  2
18,  1
78,  2
93,  3
53,  2
68,  2
28,  1
57,  2
17,  1
32,  1
92,  3
52,  2
67,  2
96,  3
56,  2
16,  1
31,  1
91,  3
6,  1
66,  2
95,  3
55,  2
70,  2
30,  1
89,  3
4,  1
64,  2
94,  3
53,  2
83,  3
98,  3
58,  2
17,  1
32,  1
92,  3
7,  1
81,  3
96,  3
56,  2
71,  2
31,  1
91,  3
20,  1
35,  1
95,  3
55,  2
70,  2
30,  1
45,  1
19,  1
34,  1
94,  3
9,  1
69,  2
28,  1
58,  2
73,  2
33,  1
93,  3
8,  1
67,  2
83,  3
57,  2
72,  2
31,  1
47,  1
6,  1
66,  2
95,  3
11,  1
70,  2
30,  1
59,  2
75,  2
34,  1
94,  3
9,  1
69,  2
84,  3
58,  2
73,  2
33,  1
48,  1
8,  1
68,  2
97,  3
57,  2
72,  2
32,  1
47,  1
7,  1
36,  1
96,  3
11,  1
71,  2
30,  1
45,  1
5,  1
35,  1
94,  3
10,  1
69,  2
84,  3
44,  1
74,  2
33,  1
48,  1
8,  1
68,  2
83,  3
43,  1
72,  2
32,  1
47,  1
7,  1
22,  1
82,  3
11,  1
71,  2
86,  3
46,  1
6,  1
21,  1
80,  3
10,  1
70,  2
85,  3
44,  1
60,  2
19,  1
49,  1
8,  1
24,  1
83,  3
43,  1
58,  2
