AttentionScore , AttentionLevel 
62,  2
22,  1
37,  1
97,  3
56,  2
86,  3
1,  1
61,  2
21,  1
36,  1
95,  3
11,  1
70,  2
0,  1
59,  2
75,  2
34,  1
94,  3
9,  1
69,  2
98,  3
58,  2
73,  2
33,  1
48,  1
8,  1
68,  2
83,  3
12,  1
72,  2
32,  1
47,  1
7,  1
34,  1
49,  1
9,  1
38,  1
98,  3
13,  1
73,  2
33,  1
48,  1
8,  1
23,  1
97,  3
12,  1
72,  2
87,  3
46,  1
6,  1
21,  1
81,  3
10,  1
70,  2
85,  3
45,  1
60,  2
20,  1
80,  3
9,  1
24,  1
84,  3
44,  1
59,  2
19,  1
48,  1
8,  1
23,  1
83,  3
98,  3
58,  2
17,  1
47,  1
62,  2
22,  1
81,  3
11,  1
26,  1
86,  3
45,  1
61,  2
20,  1
35,  1
9,  1
25,  1
84,  3
99,  3
59,  2
19,  1
34,  1
63,  2
23,  1
83,  3
98,  3
58,  2
18,  1
47,  1
62,  2
22,  1
82,  3
97,  3
57,  2
72,  2
46,  1
61,  2
21,  1
36,  1
95,  3
55,  2
70,  2
0,  1
59,  2
19,  1
34,  1
94,  3
9,  1
83,  3
98,  3
58,  2
73,  2
33,  1
93,  3
8,  1
37,  1
97,  3
57,  2
72,  2
32,  1
47,  1
21,  1
36,  1
96,  3
11,  1
71,  2
30,  1
46,  1
75,  2
35,  1
94,  3
10,  1
69,  2
84,  3
44,  1
4,  1
19,  1
79,  2
94,  3
54,  2
14,  1
29,  1
88,  3
4,  1
63,  2
23,  1
38,  1
98,  3
13,  1
87,  3
2,  1
62,  2
77,  2
37,  1
97,  3
12,  1
72,  2
87,  3
46,  1
6,  1
21,  1
51,  2
10,  1
70,  2
85,  3
45,  1
60,  2
20,  1
80,  3
95,  3
55,  2
70,  2
30,  1
89,  3
4,  1
64,  2
79,  2
39,  1
99,  3
14,  1
74,  2
89,  3
49,  1
8,  1
24,  1
83,  3
98,  3
58,  2
18,  1
33,  1
93,  3
8,  1
68,  2
28,  1
43,  1
2,  1
18,  1
77,  2
37,  1
52,  2
82,  3
41,  1
1,  1
16,  1
76,  2
91,  3
51,  2
11,  1
26,  1
86,  3
1,  1
60,  2
20,  1
35,  1
95,  3
55,  2
70,  2
30,  1
45,  1
5,  1
64,  2
80,  3
39,  1
54,  2
14,  1
74,  2
89,  3
49,  1
64,  2
24,  1
84,  3
99,  3
58,  2
74,  2
33,  1
93,  3
8,  1
68,  2
83,  3
57,  2
72,  2
32,  1
47,  1
7,  1
67,  2
82,  3
42,  1
57,  2
16,  1
76,  2
91,  3
51,  2
66,  2
26,  1
86,  3
1,  1
61,  2
76,  2
50,  3
65,  2
25,  1
40,  1
0,  1
59,  2
74,  2
34,  1
49,  1
9,  1
69,  2
84,  3
44,  1
59,  2
19,  1
78,  2
94,  3
53,  2
68,  2
28,  1
88,  3
3,  1
63,  2
78,  2
38,  1
67,  2
27,  1
42,  1
2,  1
62,  2
77,  2
6,  1
66,  2
26,  1
41,  1
1,  1
30,  1
90,  3
5,  1
65,  2
80,  3
54,  2
69,  2
29,  1
58,  2
18,  1
47,  1
62,  2
22,  1
82,  3
11,  1
26,  1
86,  3
46,  1
75,  2
90,  3
50,  3
79,  2
39,  1
54,  2
14,  1
74,  2
89,  3
18,  1
78,  2
38,  1
67,  2
82,  3
42,  1
2,  1
17,  1
77,  2
92,  3
52,  2
81,  3
41,  1
56,  2
16,  1
75,  2
90,  3
64,  2
80,  3
9,  1
69,  2
28,  1
44,  1
3,  1
18,  1
78,  2
38,  1
53,  2
13,  1
42,  1
72,  2
31,  1
59,  2
74,  2
34,  1
93,  3
9,  1
68,  2
83,  3
57,  2
73,  2
32,  1
62,  2
21,  1
37,  1
96,  3
26,  1
85,  3
1,  1
60,  2
75,  2
35,  1
95,  3
10,  1
70,  2
85,  3
59,  2
74,  2
34,  1
49,  1
9,  1
69,  2
98,  3
13,  1
73,  2
33,  1
48,  1
7,  1
37,  1
97,  3
12,  1
72,  2
87,  3
61,  2
76,  2
36,  1
51,  2
10,  1
70,  2
85,  3
45,  1
74,  2
34,  1
49,  1
9,  1
24,  1
84,  3
13,  1
73,  2
88,  3
48,  1
77,  2
37,  1
52,  2
26,  1
41,  1
1,  1
16,  1
76,  2
5,  1
65,  2
80,  3
54,  2
69,  2
29,  1
44,  1
4,  1
64,  2
79,  2
39,  1
68,  2
28,  1
43,  1
3,  1
18,  1
78,  2
37,  1
53,  2
12,  1
27,  1
87,  3
17,  1
76,  2
91,  3
65,  2
81,  3
40,  1
55,  2
15,  1
45,  1
4,  1
19,  1
79,  2
39,  1
54,  2
14,  1
29,  1
89,  3
49,  1
64,  2
23,  1
83,  3
98,  3
28,  1
87,  3
47,  1
77,  2
92,  3
51,  2
11,  1
26,  1
56,  2
15,  1
75,  2
90,  3
50,  3
65,  2
39,  1
54,  2
14,  1
29,  1
89,  3
49,  1
64,  2
24,  1
53,  2
13,  1
28,  1
88,  3
3,  1
77,  2
92,  3
21,  1
81,  3
41,  1
56,  2
16,  1
31,  1
91,  3
50,  3
66,  2
25,  1
40,  1
0,  1
60,  2
75,  2
35,  1
50,  3
10,  1
70,  2
85,  3
44,  1
60,  2
19,  1
79,  2
94,  3
54,  2
83,  3
43,  1
58,  2
18,  1
47,  1
7,  1
22,  1
82,  3
11,  1
71,  2
86,  3
46,  1
